NAME,org_per_2017,farm_acre_2017,pop,air_2008,water_2008,sq_mi,acres_total,per_acres_farm,latitude,longitude
Adams,1,11206,"20,220",29,57,645.65,413216,36.8745315,43.969455,-89.774758
Ashland,1,52428,"15,562",2,15,"1,045.04",668825.6,12.75703059,47.051207,-90.444297
Barron,1,305604,"45,244",27,42,862.71,552134.4,1.806698865,45.42367,-91.84835
Bayfield,2,81041,"15,036",7,1,"1,477.86",945830.4,11.67101097,46.670227,-91.229545
Brown,1,192007,"264,542",67,11,529.71,339014.4,1.765635628,44.478809,-87.99618
Buffalo,4,293130,"13,031",10,41,671.64,429849.6,1.466412854,44.39653,-91.731985
Burnett,1,89237,"15,414",13,22,821.85,525984,5.894236696,45.869842,-92.367575
Calumet,2,153858,"50,089",52,65,318.24,203673.6,1.323776469,44.090003,-88.218052
Chippewa,2,356176,"64,658",41,69,"1,008.37",645356.8,1.811904227,45.074438,-91.27986
Clark,2,451035,"34,774",15,64,"1,209.82",774284.8,1.716684515,44.738868,-90.616128
Columbia,2,304058,"57,532",53,50,765.53,489939.2,1.61133468,43.461867,-89.3263
Crawford,3,210550,"16,131",19,59,570.66,365222.4,1.734611256,43.246569,-90.898374
Dane,2,506688,"546,695",64,72,"1,197.24",766233.6,1.512239485,43.075193,-89.423867
Dodge,1,405992,"87,839",51,21,875.63,560403.2,1.380330647,43.41528,-88.707514
Door,2,114508,"27,668",58,52,481.98,308467.2,2.693848465,45.016525,-87.014718
Douglas,1,69759,"43,150",49,1,"1,304.14",834649.6,11.96475867,46.457214,-91.892304
Dunn,2,348301,"45,368",35,53,850.11,544070.4,1.562069589,44.946199,-91.893004
Eau Claire,3,172256,"104,646",54,37,637.98,408307.2,2.370351105,44.726937,-91.285971
Florence,0,18609,"4,295",3,1,488.2,312448,16.7901553,45.851303,-88.398194
Fond du Lac,2,317371,"103,403",60,32,719.55,460512,1.451021045,43.762674,-88.488206
Forest,1,38084,"9,004",8,30,"1,014.07",649004.8,17.04140321,45.633723,-88.838565
Grant,3,600324,"51,439",44,40,"1,146.85",733984,1.222646438,42.87612,-90.676633
Green,1,292368,"36,960",50,43,583.96,373734.4,1.278301319,42.680497,-89.602179
Green Lake,2,126751,"18,913",28,49,349.44,223641.6,1.764416849,43.800956,-89.030508
Iowa,3,360134,"23,678",14,46,762.58,488051.2,1.355193345,42.990172,-90.139396
Iron,0,9200,"5,687",5,1,758.17,485228.8,52.74226087,46.300725,-90.264435
Jackson,5,248342,"20,643",23,36,987.72,632140.8,2.545444589,44.323019,-90.941513
Jefferson,2,221355,"84,769",55,28,556.47,356140.8,1.608912381,43.020209,-88.775848
Juneau,1,175417,"26,687",31,34,766.93,490835.2,2.798105087,43.915519,-90.145385
Kenosha,1,77782,"169,561",71,9,271.99,174073.6,2.237967653,42.580337,-87.653207
Kewaunee,1,170405,"20,434",56,26,342.52,219212.8,1.286422347,44.501591,-87.307247
La Crosse,4,144334,"118,016",47,71,451.69,289081.6,2.002865576,43.898033,-91.115218
Lafayette,4,342518,"16,665",9,29,633.59,405497.6,1.18387238,42.661137,-90.131729
Langlade,4,116386,"19,189",26,48,870.64,557209.6,4.787599883,45.27017,-89.079428
Lincoln,3,78293,"27,593",39,63,878.97,562540.8,7.185071462,45.337752,-89.734598
Manitowoc,1,231609,"78,981",61,27,589.08,377011.2,1.627791666,44.110851,-87.512333
Marathon,2,473147,"135,692",48,54,"1,544.98",988787.2,2.089809721,44.902391,-89.759064
Marinette,2,133168,"40,350",33,14,"1,399.35",895584,6.725219272,45.458308,-88.091771
Marquette,2,113183,"15,574",30,58,455.6,291584,2.576217276,43.812538,-89.410377
Menominee,0,Withheld,"4,556",11,1,357.61,228870.4,#VALUE!,45.015461,-88.664904
Milwaukee,1,Withheld,"945,726",72,1,241.4,154496,#VALUE!,43.017071,-87.580553
Monroe,8,300659,"46,253",38,68,900.78,576499.2,1.917451997,43.943076,-90.617823
Oconto,1,189898,"37,930",21,19,997.99,638713.6,3.363456171,44.850043,-88.074017
Oneida,2,34670,"35,595",37,20,"1,112.97",712300.8,20.54516297,45.72735,-89.521718
Outagamie,1,236963,"187,885",63,1,637.52,408012.8,1.721841807,44.416758,-88.464925
Ozaukee,2,59299,"89,221",69,33,233.08,149171.2,2.515576991,43.367477,-87.594387
Pepin,1,106881,"7,287",22,38,231.98,148467.2,1.3890888,44.482114,-92.140142
Pierce,2,233188,"42,754",40,55,573.75,367200,1.574695096,44.713818,-92.428922
Polk,1,256114,"43,783",32,44,913.96,584934.4,2.283882958,45.446912,-92.39773
Portage,1,280410,"70,772",42,73,800.68,512435.2,1.827449806,44.465006,-89.501433
Price,1,89203,"13,351",4,16,"1,254.38",802803.2,8.999733193,45.680327,-90.361387
Racine,0.4,127496,"196,311",70,18,332.5,212800,1.669071971,42.75499,-87.696113
Richland,3,220843,"17,252",25,45,586.15,375136,1.6986547,43.377323,-90.429451
Rock,1,353505,"163,354",66,70,718.14,459609.6,1.30015021,42.671864,-89.071555
Rusk,2,136062,"14,178",17,25,913.59,584697.6,4.297288001,45.465365,-91.133149
St. Croix,1,279191,"90,687",46,67,722.33,462291.2,1.655824149,45.035871,-92.45279
Sauk,2,298906,"64,442",43,66,830.9,531776,1.779074358,43.416993,-89.948362
Sawyer,1,46009,"16,558",12,12,"1,257.31",804678.4,17.48958682,45.897783,-91.168025
Shawano,2,247241,"40,899",36,56,893.06,571558.4,2.311746029,44.811306,-88.863563
Sheboygan,1,195938,"115,340",68,24,511.27,327212.8,1.669981321,43.718011,-87.634801
Taylor,2,225856,"20,343",6,31,974.88,623923.2,2.76248229,45.204124,-90.501241
Trempealeau,3,329916,"29,649",24,51,732.97,469100.8,1.421879509,44.303277,-91.354078
Vernon,14,337086,"30,822",18,39,791.58,506611.2,1.502913796,43.574687,-90.834376
Vilas,0,5652,"22,195",1,17,856.6,548224,96.99646143,46.059476,-89.514756
Walworth,2,192422,"103,868",57,23,555.13,355283.2,1.846375155,42.668925,-88.541918
Washburn,0.4,73773,"15,720",16,10,797.11,510150.4,6.915136974,45.898284,-91.787812
Washington,2,126146,"136,034",59,47,430.7,275648,2.18515054,43.368033,-88.230774
Waukesha,1,97460,"404,198",65,35,549.57,351724.8,3.608914426,43.017596,-88.304544
Waupaca,0.4,201603,"50,990",34,61,747.71,478534.4,2.373647218,44.461208,-88.964814
Waushara,2,135306,"24,443",20,60,626.15,400736,2.961701624,44.11311,-89.242877
Winnebago,1,162052,"171,907",62,13,434.49,278073.6,1.715952904,44.069109,-88.644646
Wood,3,220891,"72,999",45,62,793.1,507584,2.297893531,44.467104,-90.057421
,,USDA National Ag Stat Service,,,,,,,,
