NAME,percentage of farms that are organic,farm_acre_2017,population,air quality ranking,water quality ranking,sq_mi,acres_total,percentage of land that is used for farming,latitude,longitude
Adams,1,11206,20220,29,57,645.65,413216,2.71,43.969455,-89.774758
Ashland,1,52428,15562,2,15,"1,045.04",668825.6,7.84,47.051207,-90.444297
Barron,1,305604,45244,27,42,862.71,552134.4,55.35,45.42367,-91.84835
Bayfield,2,81041,15036,7,1,"1,477.86",945830.4,8.57,46.670227,-91.229545
Brown,1,192007,264542,67,11,529.71,339014.4,56.64,44.478809,-87.99618
Buffalo,4,293130,13031,10,41,671.64,429849.6,68.19,44.39653,-91.731985
Burnett,1,89237,15414,13,22,821.85,525984,16.97,45.869842,-92.367575
Calumet,2,153858,50089,52,65,318.24,203673.6,75.54,44.090003,-88.218052
Chippewa,2,356176,64658,41,69,"1,008.37",645356.8,55.19,45.074438,-91.27986
Clark,2,451035,34774,15,64,"1,209.82",774284.8,58.25,44.738868,-90.616128
Columbia,2,304058,57532,53,50,765.53,489939.2,62.06,43.461867,-89.3263
Crawford,3,210550,16131,19,59,570.66,365222.4,57.65,43.246569,-90.898374
Dane,2,506688,546695,64,72,"1,197.24",766233.6,66.13,43.075193,-89.423867
Dodge,1,405992,87839,51,21,875.63,560403.2,72.45,43.41528,-88.707514
Door,2,114508,27668,58,52,481.98,308467.2,37.12,45.016525,-87.014718
Douglas,1,69759,43150,49,1,"1,304.14",834649.6,8.36,46.457214,-91.892304
Dunn,2,348301,45368,35,53,850.11,544070.4,64.02,44.946199,-91.893004
Eau Claire,3,172256,104646,54,37,637.98,408307.2,42.19,44.726937,-91.285971
Florence,0,18609,4295,3,1,488.2,312448,5.96,45.851303,-88.398194
Fond du Lac,2,317371,103403,60,32,719.55,460512,68.92,43.762674,-88.488206
Forest,1,38084,9004,8,30,"1,014.07",649004.8,5.87,45.633723,-88.838565
Grant,3,600324,51439,44,40,"1,146.85",733984,81.79,42.87612,-90.676633
Green,1,292368,36960,50,43,583.96,373734.4,78.23,42.680497,-89.602179
Green Lake,2,126751,18913,28,49,349.44,223641.6,56.68,43.800956,-89.030508
Iowa,3,360134,23678,14,46,762.58,488051.2,73.79,42.990172,-90.139396
Iron,0,9200,5687,5,1,758.17,485228.8,1.9,46.300725,-90.264435
Jackson,5,248342,20643,23,36,987.72,632140.8,39.29,44.323019,-90.941513
Jefferson,2,221355,84769,55,28,556.47,356140.8,62.15,43.020209,-88.775848
Juneau,1,175417,26687,31,34,766.93,490835.2,35.74,43.915519,-90.145385
Kenosha,1,77782,169561,71,9,271.99,174073.6,44.68,42.580337,-87.653207
Kewaunee,1,170405,20434,56,26,342.52,219212.8,77.73,44.501591,-87.307247
La Crosse,4,144334,118016,47,71,451.69,289081.6,49.93,43.898033,-91.115218
Lafayette,4,342518,16665,9,29,633.59,405497.6,84.47,42.661137,-90.131729
Langlade,4,116386,19189,26,48,870.64,557209.6,20.89,45.27017,-89.079428
Lincoln,3,78293,27593,39,63,878.97,562540.8,13.92,45.337752,-89.734598
Manitowoc,1,231609,78981,61,27,589.08,377011.2,61.43,44.110851,-87.512333
Marathon,2,473147,135692,48,54,"1,544.98",988787.2,47.85,44.902391,-89.759064
Marinette,2,133168,40350,33,14,"1,399.35",895584,14.87,45.458308,-88.091771
Marquette,2,113183,15574,30,58,455.6,291584,38.82,43.812538,-89.410377
Menominee,0,Withheld,4556,11,1,357.61,228870.4,0,45.015461,-88.664904
Milwaukee,1,Withheld,945726,72,1,241.4,154496,0,43.017071,-87.580553
Monroe,8,300659,46253,38,68,900.78,576499.2,52.15,43.943076,-90.617823
Oconto,1,189898,37930,21,19,997.99,638713.6,29.73,44.850043,-88.074017
Oneida,2,34670,35595,37,20,"1,112.97",712300.8,4.87,45.72735,-89.521718
Outagamie,1,236963,187885,63,1,637.52,408012.8,58.08,44.416758,-88.464925
Ozaukee,2,59299,89221,69,33,233.08,149171.2,39.75,43.367477,-87.594387
Pepin,1,106881,7287,22,38,231.98,148467.2,71.99,44.482114,-92.140142
Pierce,2,233188,42754,40,55,573.75,367200,63.5,44.713818,-92.428922
Polk,1,256114,43783,32,44,913.96,584934.4,43.79,45.446912,-92.39773
Portage,1,280410,70772,42,73,800.68,512435.2,54.72,44.465006,-89.501433
Price,1,89203,13351,4,16,"1,254.38",802803.2,11.11,45.680327,-90.361387
Racine,0.4,127496,196311,70,18,332.5,212800,59.91,42.75499,-87.696113
Richland,3,220843,17252,25,45,586.15,375136,58.87,43.377323,-90.429451
Rock,1,353505,163354,66,70,718.14,459609.6,76.91,42.671864,-89.071555
Rusk,2,136062,14178,17,25,913.59,584697.6,23.27,45.465365,-91.133149
St. Croix,1,279191,90687,46,67,722.33,462291.2,60.39,45.035871,-92.45279
Sauk,2,298906,64442,43,66,830.9,531776,56.21,43.416993,-89.948362
Sawyer,1,46009,16558,12,12,"1,257.31",804678.4,5.72,45.897783,-91.168025
Shawano,2,247241,40899,36,56,893.06,571558.4,43.26,44.811306,-88.863563
Sheboygan,1,195938,115340,68,24,511.27,327212.8,59.88,43.718011,-87.634801
Taylor,2,225856,20343,6,31,974.88,623923.2,36.2,45.204124,-90.501241
Trempealeau,3,329916,29649,24,51,732.97,469100.8,70.33,44.303277,-91.354078
Vernon,14,337086,30822,18,39,791.58,506611.2,66.54,43.574687,-90.834376
Vilas,0,5652,22195,1,17,856.6,548224,1.03,46.059476,-89.514756
Walworth,2,192422,103868,57,23,555.13,355283.2,54.16,42.668925,-88.541918
Washburn,0.4,73773,15720,16,10,797.11,510150.4,14.46,45.898284,-91.787812
Washington,2,126146,136034,59,47,430.7,275648,45.76,43.368033,-88.230774
Waukesha,1,97460,404198,65,35,549.57,351724.8,27.71,43.017596,-88.304544
Waupaca,0.4,201603,50990,34,61,747.71,478534.4,42.13,44.461208,-88.964814
Waushara,2,135306,24443,20,60,626.15,400736,33.76,44.11311,-89.242877
Winnebago,1,162052,171907,62,13,434.49,278073.6,58.28,44.069109,-88.644646
Wood,3,220891,72999,45,62,793.1,507584,43.52,44.467104,-90.057421
,,USDA National Ag Stat Service,,,,,,,,
